VCH;PA;PA-E-SPV;AA;INT;INT-E-SPV;;;;
VCH;1;65;;;;;;;
VCH;92;92;;;;;;;
VCH;156;169;;;;;;;
CTA;REP;INT;REP-E-SPV;INT-E-SPV;;;;;
CTA;1;65;;;;;;;
CTA;75;75;;;;;;;
CTA;84;84;;;;;;;
CTA;101;101;;;;;;;
CTA;106;108;;;;;;;
CTA;141;156;;;;;;;
SCL;AA;GA;GC;DI;GA-E-SPV;GC-E-SPV;DI-E-SPV;GE;GE-E-SPV
SCL;1;65;;;;;;;
SCL;84;84;;;;;;;
SCL;117;126;;;;;;;
GDE;PA;PA-E;GC-E;;;;;;
GDE;1;65;;;;;;;;
GDE;101;101;;;;;;;;
AGL;GC;DI;GE;RES;GE-E;GC-E;DI-E;GA-E;INT-E;PA-E
AGL;1;65;;;;;;;;
AGL;69;70;;;;;;;;
AGL;78;78;;;;;;;;
AGL;170;177;;;;;;;;
JPH;AA;GC;RES;DI;GA;RES;PA-E;AA-E;;
JPH;1;65;;;;;;;;
JPH;71;75;;;;;;;;
JPH;101;101;;;;;;;;
JPH;151;164;;;;;;;;
HDR;DI-E;GA-E;GC-E;REP;PA-E;AA-E;;;;
HDR;1;65;;;;;;;;
HDR;69;70;;;;;;;;
EOU;DI-E;GA-E;GC-E;PA-E;AA-E;;;;;
EOU;1;65;;;;
EOU;69;70;;;;
GPE;DI-E;GA-E;GC-E;PA;PA-E;AA-E
GPE;1;67;;;;
GPE;101;101;;;;
